ticker,calendar_quarter,capex,diluted_shares,eps_diluted,gross_profit,net_income,operating_income,revenue,gross_margin,operating_margin,net_margin,eps_diluted_calc
AMD,2010Q1,,754000000.0,0.35,741000000.0,257000000.0,182000000.0,1574000000.0,0.4707750952986023,0.1156289707750953,0.16327827191867852,0.34084880636604775
AMD,2010Q2,,709000000.0,-0.06,738000000.0,-43000000.0,125000000.0,1653000000.0,0.44646098003629764,0.07562008469449485,-0.02601330913490623,-0.06064880112834979
AMD,2010Q3,,713000000.0,-0.17,739000000.0,-118000000.0,128000000.0,1618000000.0,0.45673671199011123,0.07911001236093942,-0.07292954264524104,-0.16549789621318373
AMD,2010Q4,,758000000.0,0.5,743000000.0,375000000.0,413000000.0,1649000000.0,0.45057610673135234,0.2504548211036992,0.22741055184960582,0.4947229551451187
AMD,2011Q1,,764000000.0,0.68,691000000.0,510000000.0,54000000.0,1613000000.0,0.4283942963422195,0.03347799132052077,0.3161810291382517,0.6675392670157068
AMD,2011Q2,,743000000.0,0.08,720000000.0,61000000.0,105000000.0,1574000000.0,0.45743329097839897,0.06670902160101652,0.03875476493011436,0.08209959623149395
AMD,2011Q3,,741000000.0,0.13,756000000.0,97000000.0,138000000.0,1690000000.0,0.44733727810650886,0.08165680473372781,0.05739644970414201,0.13090418353576247
AMD,2011Q4,,732000000.0,-0.24,773000000.0,-177000000.0,71000000.0,1691000000.0,0.4571259609698403,0.041986989946777055,-0.10467179183914843,-0.24180327868852458
AMD,2012Q1,,734000000.0,-0.8,27000000.0,-590000000.0,-580000000.0,1585000000.0,0.017034700315457414,-0.3659305993690852,-0.3722397476340694,-0.8038147138964578
AMD,2012Q2,,755000000.0,0.05,638000000.0,37000000.0,77000000.0,1413000000.0,0.45152158527954706,0.05449398443029016,0.026185421089879687,0.04900662251655629
AMD,2012Q3,,745000000.0,-0.21,392000000.0,-157000000.0,-131000000.0,1269000000.0,0.30890464933018125,-0.10323089046493301,-0.12371946414499606,-0.21073825503355706
