date,ticker,source_ticker,adj_close
2010-01-04,NVDA,NVDA,0.4232904016971588
2010-01-05,NVDA,NVDA,0.4294716715812683
2010-01-06,NVDA,NVDA,0.43221887946128845
2010-01-07,NVDA,NVDA,0.42374834418296814
2010-01-08,NVDA,NVDA,0.42466405034065247
2010-01-11,NVDA,NVDA,0.4187118113040924
2010-01-12,NVDA,NVDA,0.4045183062553406
2010-01-13,NVDA,NVDA,0.41001254320144653
2010-01-14,NVDA,NVDA,0.4036024212837219
2010-01-15,NVDA,NVDA,0.3916981816291809
2010-01-19,NVDA,NVDA,0.3990238904953003
2010-01-20,NVDA,NVDA,0.39742130041122437
2010-01-21,NVDA,NVDA,0.39032456278800964
2010-01-22,NVDA,NVDA,0.37681764364242554
2010-01-25,NVDA,NVDA,0.3832278251647949
2010-01-26,NVDA,NVDA,0.3710945248603821
2010-01-27,NVDA,NVDA,0.3811674118041992
2010-01-28,NVDA,NVDA,0.3683474361896515
2010-01-29,NVDA,NVDA,0.3523222804069519
2010-02-01,NVDA,NVDA,0.3793359398841858
2010-02-02,NVDA,NVDA,0.3832278251647949
2010-02-03,NVDA,NVDA,0.38643279671669006
2010-02-04,NVDA,NVDA,0.3639977276325226
2010-02-05,NVDA,NVDA,0.37132343649864197
2010-02-08,NVDA,NVDA,0.37063664197921753
2010-02-09,NVDA,NVDA,0.3676607012748718
2010-02-10,NVDA,NVDA,0.3747572600841522
2010-02-11,NVDA,NVDA,0.3919271230697632
2010-02-12,NVDA,NVDA,0.39719247817993164
2010-02-16,NVDA,NVDA,0.4045183062553406
2010-02-17,NVDA,NVDA,0.40841004252433777
2010-02-18,NVDA,NVDA,0.3816252648830414
2010-02-19,NVDA,NVDA,0.37956497073173523
2010-02-22,NVDA,NVDA,0.38025179505348206
2010-02-23,NVDA,NVDA,0.3710945248603821
2010-02-24,NVDA,NVDA,0.37887808680534363
2010-02-25,NVDA,NVDA,0.3754441738128662
2010-02-26,NVDA,NVDA,0.3708655834197998
2010-03-01,NVDA,NVDA,0.38574597239494324
2010-03-02,NVDA,NVDA,0.3855171203613281
2010-03-03,NVDA,NVDA,0.38070952892303467
2010-03-04,NVDA,NVDA,0.3813963830471039
2010-03-05,NVDA,NVDA,0.39307165145874023
2010-03-08,NVDA,NVDA,0.3873485028743744
2010-03-09,NVDA,NVDA,0.4017711281776428
2010-03-10,NVDA,NVDA,0.40268674492836
2010-03-11,NVDA,NVDA,0.39352965354919434
2010-03-12,NVDA,NVDA,0.39490312337875366
2010-03-15,NVDA,NVDA,0.3928427994251251
2010-03-16,NVDA,NVDA,0.40657851099967957
2010-03-17,NVDA,NVDA,0.41436225175857544
2010-03-18,NVDA,NVDA,0.3997107446193695
2010-03-19,NVDA,NVDA,0.39490312337875366
2010-03-22,NVDA,NVDA,0.40131324529647827
2010-03-23,NVDA,NVDA,0.4095546305179596
2010-03-24,NVDA,NVDA,0.395818829536438
2010-03-25,NVDA,NVDA,0.39696362614631653
2010-03-26,NVDA,NVDA,0.39696362614631653
2010-03-29,NVDA,NVDA,0.4020000994205475
2010-03-30,NVDA,NVDA,0.4036024212837219
2010-03-31,NVDA,NVDA,0.39833712577819824
2010-04-01,NVDA,NVDA,0.3942164182662964
2010-04-05,NVDA,NVDA,0.4001685380935669
2010-04-06,NVDA,NVDA,0.39032456278800964
2010-04-07,NVDA,NVDA,0.3928427994251251
2010-04-08,NVDA,NVDA,0.38643279671669006
2010-04-09,NVDA,NVDA,0.3889510929584503
2010-04-12,NVDA,NVDA,0.3960478901863098
2010-04-13,NVDA,NVDA,0.40428924560546875
2010-04-14,NVDA,NVDA,0.40932580828666687
2010-04-15,NVDA,NVDA,0.41230177879333496
2010-04-16,NVDA,NVDA,0.39055347442626953
2010-04-19,NVDA,NVDA,0.38872209191322327
2010-04-20,NVDA,NVDA,0.390095591545105
2010-04-21,NVDA,NVDA,0.38002291321754456
2010-04-22,NVDA,NVDA,0.3816252648830414
2010-04-23,NVDA,NVDA,0.3763599097728729
2010-04-26,NVDA,NVDA,0.38002291321754456
2010-04-27,NVDA,NVDA,0.36926308274269104
2010-04-28,NVDA,NVDA,0.3699498474597931
2010-04-29,NVDA,NVDA,0.3811674118041992
2010-04-30,NVDA,NVDA,0.35964807868003845
2010-05-03,NVDA,NVDA,0.3557562232017517
2010-05-04,NVDA,NVDA,0.33767080307006836
2010-05-05,NVDA,NVDA,0.3319476246833801
2010-05-06,NVDA,NVDA,0.3250795900821686
2010-05-07,NVDA,NVDA,0.3195854127407074
2010-05-10,NVDA,NVDA,0.3333211839199066
2010-05-11,NVDA,NVDA,0.32965829968452454
2010-05-12,NVDA,NVDA,0.3360683023929596
2010-05-13,NVDA,NVDA,0.33538153767585754
2010-05-14,NVDA,NVDA,0.29669255018234253
2010-05-17,NVDA,NVDA,0.29737934470176697
2010-05-18,NVDA,NVDA,0.2875353693962097
2010-05-19,NVDA,NVDA,0.2921139895915985
2010-05-20,NVDA,NVDA,0.28524598479270935
2010-05-21,NVDA,NVDA,0.2914270758628845
2010-05-24,NVDA,NVDA,0.28295671939849854
2010-05-25,NVDA,NVDA,0.2905113995075226
2010-05-26,NVDA,NVDA,0.2918849289417267
2010-05-27,NVDA,NVDA,0.30905473232269287
2010-05-28,NVDA,NVDA,0.3008131682872772
2010-06-01,NVDA,NVDA,0.2879931330680847
2010-06-02,NVDA,NVDA,0.2911983132362366
2010-06-03,NVDA,NVDA,0.2907402515411377
2010-06-04,NVDA,NVDA,0.2770044803619385
2010-06-07,NVDA,NVDA,0.2632688283920288
2010-06-08,NVDA,NVDA,0.25594303011894226
2010-06-09,NVDA,NVDA,0.24976195394992828
2010-06-10,NVDA,NVDA,0.2598348557949066
2010-06-11,NVDA,NVDA,0.2657870054244995
2010-06-14,NVDA,NVDA,0.2600637376308441
2010-06-15,NVDA,NVDA,0.2728838324546814
2010-06-16,NVDA,NVDA,0.2694498896598816
2010-06-17,NVDA,NVDA,0.2797517776489258
2010-06-18,NVDA,NVDA,0.28158310055732727
2010-06-21,NVDA,NVDA,0.2749442160129547
2010-06-22,NVDA,NVDA,0.2646424174308777
2010-06-23,NVDA,NVDA,0.267618328332901
2010-06-24,NVDA,NVDA,0.25434058904647827
2010-06-25,NVDA,NVDA,0.25365370512008667
2010-06-28,NVDA,NVDA,0.2541116178035736
2010-06-29,NVDA,NVDA,0.23991800844669342
2010-06-30,NVDA,NVDA,0.23373685777187347
2010-07-01,NVDA,NVDA,0.2376287877559662
2010-07-02,NVDA,NVDA,0.23465263843536377
2010-07-06,NVDA,NVDA,0.2321343868970871
2010-07-07,NVDA,NVDA,0.24335195124149323
2010-07-08,NVDA,NVDA,0.23602624237537384
2010-07-09,NVDA,NVDA,0.23694193363189697
2010-07-12,NVDA,NVDA,0.24129165709018707
2010-07-13,NVDA,NVDA,0.24999091029167175
2010-07-14,NVDA,NVDA,0.25250908732414246
2010-07-15,NVDA,NVDA,0.24541227519512177
2010-07-16,NVDA,NVDA,0.23007401823997498
2010-07-19,NVDA,NVDA,0.23946017026901245
2010-07-20,NVDA,NVDA,0.24541227519512177
2010-07-21,NVDA,NVDA,0.23739974200725555
2010-07-22,NVDA,NVDA,0.24129165709018707
2010-07-23,NVDA,NVDA,0.23717084527015686
2010-07-26,NVDA,NVDA,0.24152056872844696
2010-07-27,NVDA,NVDA,0.23946017026901245
2010-07-28,NVDA,NVDA,0.23190543055534363
2010-07-29,NVDA,NVDA,0.20901250839233398
2010-07-30,NVDA,NVDA,0.21038608253002167
2010-08-02,NVDA,NVDA,0.21015718579292297
2010-08-03,NVDA,NVDA,0.20466290414333344
2010-08-04,NVDA,NVDA,0.2133622020483017
2010-08-05,NVDA,NVDA,0.21610943973064423
2010-08-06,NVDA,NVDA,0.21862757205963135
2010-08-09,NVDA,NVDA,0.22068794071674347
2010-08-10,NVDA,NVDA,0.21153078973293304
