ticker,calendar_quarter,quarter_end_date,fundamentals_filed,source_ticker,qend_adj_close,qoq_return,price_index_100,revenue,revenue_ttm,revenue_yoy,net_income,netincome_ttm,gross_profit,operating_income,gross_margin,operating_margin,net_margin,eps_diluted,diluted_shares,capex,eps_diluted_calc
AMD,2010Q1,2010-03-31,2011-05-10,AMD,9.27,,100.0,1574000000.0,,,257000000.0,,741000000.0,182000000.0,0.4707750952986023,0.1156289707750953,0.1632782719186785,0.35,754000000.0,,0.3408488063660477
AMD,2010Q2,2010-06-30,2010-08-04,AMD,7.32,-0.2103559870550161,78.96440129449839,1653000000.0,,,-43000000.0,,738000000.0,125000000.0,0.4464609800362976,0.0756200846944948,-0.0260133091349062,-0.06,709000000.0,,-0.0606488011283497
AMD,2010Q3,2010-09-30,2010-11-03,AMD,7.11,-0.0286885245901639,76.6990291262136,1618000000.0,,,-118000000.0,,739000000.0,128000000.0,0.4567367119901112,0.0791100123609394,-0.072929542645241,-0.17,713000000.0,,-0.1654978962131837
AMD,2010Q4,2010-12-31,2012-02-24,AMD,8.18,0.1504922644163149,88.24163969795038,1649000000.0,6494000000.0,,375000000.0,471000000.0,743000000.0,413000000.0,0.4505761067313523,0.2504548211036992,0.2274105518496058,0.5,758000000.0,,0.4947229551451187
AMD,2011Q1,2011-03-31,2013-02-21,AMD,8.6,0.0513447432762836,92.77238403451996,1613000000.0,6533000000.0,0.024777636594663255,510000000.0,724000000.0,691000000.0,54000000.0,0.4283942963422195,0.0334779913205207,0.3161810291382517,0.68,764000000.0,,0.6675392670157068
AMD,2011Q2,2011-06-30,2013-02-21,AMD,6.99,-0.1872093023255813,75.40453074433658,1574000000.0,6454000000.0,-0.047791893526920703,61000000.0,828000000.0,720000000.0,105000000.0,0.4574332909783989,0.0667090216010165,0.0387547649301143,0.08,743000000.0,,0.0820995962314939
AMD,2011Q3,2011-09-30,2013-02-21,AMD,5.08,-0.2732474964234621,54.800431499460636,1690000000.0,6526000000.0,0.04449938195302838,97000000.0,1043000000.0,756000000.0,138000000.0,0.4473372781065088,0.0816568047337278,0.057396449704142,0.13,741000000.0,,0.1309041835357624
AMD,2011Q4,2011-12-30,2013-02-21,AMD,5.4,0.062992125984252,58.252427184466036,1691000000.0,6568000000.0,0.02546998180715576,-177000000.0,491000000.0,773000000.0,71000000.0,0.4571259609698403,0.041986989946777,-0.1046717918391484,-0.24,732000000.0,,-0.2418032786885245
AMD,2012Q1,2012-03-30,2013-05-06,AMD,8.02,0.4851851851851849,86.51564185544768,1585000000.0,6540000000.0,-0.017358958462492247,-590000000.0,-609000000.0,27000000.0,-580000000.0,0.0170347003154574,-0.3659305993690852,-0.3722397476340694,-0.8,734000000.0,,-0.8038147138964578
AMD,2012Q2,2012-06-29,2013-08-01,AMD,5.73,-0.2855361596009974,61.812297734627855,1413000000.0,6379000000.0,-0.102287166454892,37000000.0,-633000000.0,638000000.0,77000000.0,0.451521585279547,0.0544939844302901,0.0261854210898796,0.05,755000000.0,,0.0490066225165562
AMD,2012Q3,2012-09-28,2013-10-30,AMD,3.37,-0.4118673647469459,36.35382955771306,1269000000.0,5958000000.0,-0.249112426035503,-157000000.0,-887000000.0,392000000.0,-131000000.0,0.3089046493301812,-0.103230890464933,-0.123719464144996,-0.21,745000000.0,,-0.210738255033557
AMD,2012Q4,2012-12-31,2013-02-21,AMD,2.4,-0.2878338278931751,25.889967637540458,1155000000.0,5422000000.0,-0.3169722057953873,-473000000.0,-1183000000.0,178000000.0,-422000000.0,0.1541125541125541,-0.3653679653679653,-0.4095238095238095,-0.63,747000000.0,,-0.6331994645247657
AMD,2013Q1,2013-03-28,2013-05-06,AMD,2.55,0.0625,27.508090614886736,1088000000.0,4925000000.0,-0.3135646687697161,-146000000.0,-739000000.0,445000000.0,-98000000.0,0.4090073529411764,-0.0900735294117647,-0.1341911764705882,-0.19,749000000.0,,-0.1949265687583444
AMD,2013Q2,2013-06-28,2013-08-01,AMD,4.08,0.6000000000000001,44.012944983818784,1161000000.0,4673000000.0,-0.17834394904458595,-74000000.0,-850000000.0,459000000.0,-29000000.0,0.3953488372093023,-0.0249784668389319,-0.0637381567614125,-0.1,752000000.0,,-0.0984042553191489
AMD,2013Q3,2013-09-30,2013-10-30,AMD,3.81,-0.0661764705882352,41.10032362459549,1461000000.0,4865000000.0,0.15130023640661938,48000000.0,-645000000.0,521000000.0,95000000.0,0.3566050650239561,0.0650239561943874,0.0328542094455852,0.06,764000000.0,,0.06282722513089
AMD,2013Q4,2013-12-31,2014-02-18,AMD,3.87,0.0157480314960629,41.74757281553399,1589000000.0,5299000000.0,0.37575757575757573,89000000.0,-83000000.0,553000000.0,135000000.0,0.3480176211453744,0.0849590937696664,0.0560100692259282,0.12,766000000.0,,0.1161879895561357
AMD,2014Q1,2014-03-31,2014-05-01,AMD,4.01,0.0361757105943152,43.257820927723856,1397000000.0,5608000000.0,0.2840073529411764,-20000000.0,43000000.0,487000000.0,49000000.0,0.348604151753758,0.035075161059413,-0.0143163922691481,-0.03,761000000.0,,-0.026281208935611
AMD,2014Q2,2014-06-30,2014-07-31,AMD,4.19,0.0448877805486285,45.19956850053939,1441000000.0,5888000000.0,0.24117140396210157,-36000000.0,81000000.0,498000000.0,63000000.0,0.3455933379597501,0.0437196391394864,-0.0249826509368494,-0.05,764000000.0,,-0.0471204188481675
AMD,2014Q3,2014-09-30,2014-10-30,AMD,3.41,-0.1861575178997614,36.78532901833874,1429000000.0,5856000000.0,-0.021902806297056765,17000000.0,50000000.0,494000000.0,63000000.0,0.3456962911126662,0.0440867739678096,0.0118964310706787,0.02,785000000.0,,0.021656050955414
AMD,2014Q4,2014-12-31,2015-02-19,AMD,2.67,-0.2170087976539589,28.802588996763767,1239000000.0,5506000000.0,-0.2202643171806168,-364000000.0,-403000000.0,360000000.0,-330000000.0,0.2905569007263922,-0.2663438256658595,-0.2937853107344633,-0.47,776000000.0,,-0.4690721649484536
AMD,2015Q1,2015-03-31,2015-04-29,AMD,2.68,0.0037453183520599,28.91046386192019,1030000000.0,5139000000.0,-0.26270579813886896,-180000000.0,-563000000.0,326000000.0,-137000000.0,0.316504854368932,-0.133009708737864,-0.174757281553398,-0.23,777000000.0,,-0.2316602316602316
AMD,2015Q2,2015-06-30,2015-07-30,AMD,2.4,-0.1044776119402985,25.88996763754047,942000000.0,4640000000.0,-0.3462873004857737,-181000000.0,-708000000.0,232000000.0,-137000000.0,0.2462845010615711,-0.1454352441613588,-0.1921443736730361,-0.23,778000000.0,,-0.2326478149100257
AMD,2015Q3,2015-09-30,2015-11-03,AMD,1.72,-0.2833333333333333,18.554476806904002,1061000000.0,4272000000.0,-0.25752274317704693,-197000000.0,-922000000.0,239000000.0,-158000000.0,0.2252591894439208,-0.1489161168708765,-0.1856738925541941,-0.25,785000000.0,,-0.2509554140127388
AMD,2015Q4,2015-12-31,2016-02-18,AMD,2.87,0.6686046511627908,30.960086299892144,958000000.0,3991000000.0,-0.22679580306698954,-102000000.0,-660000000.0,283000000.0,-49000000.0,0.2954070981210856,-0.0511482254697286,-0.1064718162839248,-0.13,791000000.0,,-0.1289506953223767
AMD,2016Q1,2016-03-31,2016-04-28,AMD,2.85,-0.0069686411149826,30.744336569579307,832000000.0,3793000000.0,-0.1922330097087379,-109000000.0,-589000000.0,269000000.0,-68000000.0,0.3233173076923077,-0.0817307692307692,-0.1310096153846154,-0.14,793000000.0,,-0.137452711223203
AMD,2016Q2,2016-06-30,2016-07-26,AMD,5.14,0.8035087719298244,55.44768069039916,1027000000.0,3878000000.0,0.09023354564755848,69000000.0,-339000000.0,319000000.0,-8000000.0,0.3106134371957156,-0.0077896786757546,0.0671859785783836,0.08,821000000.0,,0.0840438489646772
AMD,2016Q3,2016-09-30,2016-10-26,AMD,6.91,0.3443579766536966,74.54153182308526,1307000000.0,4124000000.0,0.23185673892554193,-406000000.0,-548000000.0,59000000.0,-293000000.0,0.045141545524101,-0.224177505738332,-0.3106350420811017,-0.5,815000000.0,,-0.498159509202454
AMD,2016Q4,2016-12-30,2018-02-27,AMD,11.34,0.6410998552821996,122.3300970873787,1106000000.0,4272000000.0,0.1544885177453028,-51000000.0,-497000000.0,351000000.0,-3000000.0,0.3173598553345388,-0.0027124773960217,-0.0461121157323689,-0.06,931000000.0,,-0.0547798066595059
AMD,2017Q1,2017-03-31,2019-02-08,AMD,14.55,0.2830687830687832,156.9579288025891,1178000000.0,4618000000.0,0.4158653846153846,-73000000.0,-461000000.0,331000000.0,-29000000.0,0.2809847198641765,-0.0246179966044142,-0.0619694397283531,-0.08,939000000.0,,-0.0777422790202343
AMD,2017Q2,2017-06-30,2018-08-02,AMD,12.48,-0.1422680412371134,134.62783171521045,1151000000.0,4742000000.0,0.12074001947419677,-16000000.0,-546000000.0,404000000.0,25000000.0,0.3509991311902693,0.0217202432667245,-0.0139009556907037,-0.02,945000000.0,,-0.0169312169312169
AMD,2017Q3,2017-09-29,2018-10-31,AMD,12.75,0.0216346153846154,137.54045307443374,1584000000.0,5019000000.0,0.21193573068094884,71000000.0,-69000000.0,573000000.0,126000000.0,0.3617424242424242,0.0795454545454545,0.0448232323232323,0.07,1042000000.0,,0.0681381957773512
AMD,2017Q4,2017-12-29,2019-02-08,AMD,10.28,-0.1937254901960784,110.89536138079833,1340000000.0,5253000000.0,0.21157323688969254,61000000.0,43000000.0,515000000.0,82000000.0,0.3843283582089552,0.0611940298507462,0.0455223880597014,0.06,1037000000.0,,0.0588235294117647
AMD,2018Q1,2018-03-29,2019-02-08,AMD,10.05,-0.022373540856031,108.41423948220073,1647000000.0,5722000000.0,0.398132427843803,81000000.0,197000000.0,597000000.0,120000000.0,0.3624772313296903,0.0728597449908925,0.0491803278688524,0.08,1039000000.0,,0.0779595765158806
AMD,2018Q2,2018-06-29,2018-08-02,AMD,14.99,0.4915422885572138,161.7044228694715,1756000000.0,6327000000.0,0.5256298870547351,116000000.0,329000000.0,652000000.0,153000000.0,0.3712984054669704,0.087129840546697,0.0660592255125284,0.11,1147000000.0,,0.1011333914559721
AMD,2018Q3,2018-09-28,2018-10-31,AMD,30.889999,1.0607070713809206,333.2254476806906,1653000000.0,6396000000.0,0.043560606060605966,102000000.0,360000000.0,661000000.0,150000000.0,0.3998790078644888,0.0907441016333938,0.0617059891107078,0.09,1076000000.0,,0.0947955390334572
AMD,2018Q4,2018-12-31,2019-02-08,AMD,18.459999,-0.4023956103074008,199.13699029126224,1419000000.0,6475000000.0,0.05895522388059704,38000000.0,337000000.0,537000000.0,28000000.0,0.3784355179704017,0.0197322057787174,0.0267794221282593,0.04,1079000000.0,,0.0352177942539388
AMD,2019Q1,2019-03-29,2019-05-01,AMD,25.52,0.3824486122669888,275.29665587918026,1272000000.0,6100000000.0,-0.22768670309653916,16000000.0,272000000.0,521000000.0,38000000.0,0.4095911949685534,0.0298742138364779,0.0125786163522012,0.01,1094000000.0,,0.0146252285191956
AMD,2019Q2,2019-06-28,2019-07-31,AMD,30.370001,0.1900470611285265,327.6159762675298,1531000000.0,5875000000.0,-0.128132118451025,35000000.0,191000000.0,621000000.0,59000000.0,0.4056172436316133,0.0385369039843239,0.0228608752449379,0.03,1109000000.0,,0.0315599639314697
AMD,2019Q3,2019-09-30,2019-10-30,AMD,28.99,-0.0454396099624757,312.72923408845753,1801000000.0,6023000000.0,0.08953418027828186,120000000.0,209000000.0,777000000.0,186000000.0,0.4314269850083287,0.1032759578012215,0.0666296501943364,0.11,1117000000.0,,0.1074306177260519
AMD,2019Q4,2019-12-31,2020-02-04,AMD,45.860001,0.5819248361503966,494.71414239482226,2127000000.0,6731000000.0,0.4989429175475688,170000000.0,341000000.0,949000000.0,348000000.0,0.4461683121767748,0.1636107193229901,0.079924776680771,0.15,1188000000.0,,0.143097643097643
AMD,2020Q1,2020-03-31,2020-04-29,AMD,45.48,-0.008286109719012,490.61488673139183,1786000000.0,7245000000.0,0.4040880503144655,162000000.0,487000000.0,818000000.0,177000000.0,0.458006718924972,0.099104143337066,0.0907054871220604,0.14,1224000000.0,,0.1323529411764706
AMD,2020Q2,2020-06-30,2020-07-29,AMD,52.610001,0.1567722295514511,567.5296763754047,1932000000.0,7646000000.0,0.26192031352057477,157000000.0,609000000.0,848000000.0,173000000.0,0.4389233954451346,0.0895445134575569,0.0812629399585921,0.13,1227000000.0,,0.1279543602281988
AMD,2020Q3,2020-09-30,2020-10-28,AMD,81.989998,0.5584488964370102,884.4659978425032,2801000000.0,8646000000.0,0.555247084952804,390000000.0,879000000.0,1230000000.0,449000000.0,0.4391288825419493,0.1602998928953945,0.1392359871474473,0.32,1215000000.0,,0.3209876543209876
AMD,2020Q4,2020-12-31,2021-01-29,AMD,91.709999,0.11855105789855,989.3203775620286,3244000000.0,9763000000.0,0.5251527973671839,1781000000.0,2490000000.0,1451000000.0,570000000.0,0.4472872996300863,0.1757090012330456,0.5490135635018496,1.45,1226000000.0,,1.4526916802610117
AMD,2021Q1,2021-03-31,2021-04-28,AMD,78.5,-0.1440409894672444,846.8176914778862,3445000000.0,11422000000.0,0.9288913773796192,555000000.0,2883000000.0,1587000000.0,662000000.0,0.4606676342525399,0.1921625544267053,0.1611030478955007,0.45,1231000000.0,,0.4508529650690495
AMD,2021Q2,2021-06-30,2021-07-28,AMD,93.93,0.1965605095541402,1013.2686084142402,3850000000.0,13340000000.0,0.9927536231884058,710000000.0,3436000000.0,1830000000.0,831000000.0,0.4753246753246753,0.2158441558441558,0.1844155844155844,0.58,1232000000.0,,0.5762987012987013
AMD,2021Q3,2021-09-30,2021-10-27,AMD,102.900002,0.0954966677312891,1110.0323840345209,4313000000.0,14852000000.0,0.5398072117101036,923000000.0,3969000000.0,2086000000.0,948000000.0,0.4836540690934384,0.2198006028286575,0.2140041734291676,0.75,1230000000.0,,0.7504065040650406
AMD,2021Q4,2021-12-31,2022-02-03,AMD,143.899994,0.3984450068329443,1552.3192448759448,4826000000.0,16434000000.0,0.48766954377311955,974000000.0,3162000000.0,2426000000.0,1207000000.0,0.5026937422295897,0.2501036054703688,0.2018234562784915,,,,
AMD,2022Q1,2022-03-31,2022-05-04,AMD,109.339996,-0.2401667786032013,1179.503732470335,5887000000.0,18876000000.0,0.7088534107402031,786000000.0,3393000000.0,2818000000.0,951000000.0,0.4786818413453372,0.1615423815186003,0.1335145235264141,0.56,1410000000.0,,0.5574468085106383
AMD,2022Q2,2022-06-30,2022-08-03,AMD,76.470001,-0.3006218785667415,824.9191046386196,6550000000.0,21576000000.0,0.7012987012987013,447000000.0,3130000000.0,3028000000.0,526000000.0,0.4622900763358779,0.0803053435114503,0.0682442748091603,0.27,1632000000.0,,0.2738970588235294
AMD,2022Q3,2022-09-30,2022-11-02,AMD,63.360001,-0.1714397780640802,683.4951564185549,5565000000.0,22828000000.0,0.2902851843264549,66000000.0,2273000000.0,2354000000.0,-64000000.0,0.4230008984725966,-0.0115004492362982,0.0118598382749326,0.04,1625000000.0,,0.0406153846153846
AMD,2022Q4,2022-12-30,2023-02-27,AMD,64.769997,0.0222537243962481,698.705469255664,5599000000.0,23601000000.0,0.1601740571902197,21000000.0,1320000000.0,2403000000.0,-149000000.0,0.4291837828183604,-0.0266118949812466,0.0037506697624575,,,,
