ticker,calendar_quarter,quarter_end_date,source_ticker,qend_adj_close,qoq_return
AMD,2021Q4,2021-12-31,AMD,143.899994,0.39844500683294437
AMD,2022Q1,2022-03-31,AMD,109.339996,-0.24016677860320135
AMD,2022Q2,2022-06-30,AMD,76.470001,-0.3006218785667415
AMD,2022Q3,2022-09-30,AMD,63.360001,-0.17143977806408028
AMD,2022Q4,2022-12-30,AMD,64.769997,0.022253724396248176
AMD,2023Q1,2023-03-31,AMD,98.010002,0.5132006567794034
AMD,2023Q2,2023-06-30,AMD,113.910004,0.16222836114216177
AMD,2023Q3,2023-09-29,AMD,102.82,-0.09735759468501126
AMD,2023Q4,2023-12-29,AMD,147.410004,0.43367053102509234
AMD,2024Q1,2024-03-28,AMD,180.490005,0.22440811411958173
AMD,2024Q2,2024-06-28,AMD,162.210007,-0.10127983541249286
AMD,2024Q3,2024-09-30,AMD,164.080002,0.011528234506518631
AMD,2024Q4,2024-12-31,AMD,120.790001,-0.26383471765194155
AMD,2025Q1,2025-03-31,AMD,102.739998,-0.14943292367387262
AMD,2025Q2,2025-06-30,AMD,141.899994,0.3811562854030812
AMD,2025Q3,2025-09-30,AMD,161.789993,0.140169132071986
AMD,2025Q4,2025-12-31,AMD,214.160004,0.32369128664218416
AMD,2026Q1,2026-03-31,AMD,203.429993,-0.05010277736079982
INTC,2010Q1,2010-03-31,INTC,14.547822,
INTC,2010Q2,2010-06-30,INTC,12.783799,-0.12125684518273594
INTC,2010Q3,2010-09-30,INTC,12.715751,-0.005322987321687456
INTC,2010Q4,2010-12-31,INTC,14.036753,0.10388706101590062
INTC,2011Q1,2011-03-31,INTC,13.583442,-0.032294576958075694
INTC,2011Q2,2011-06-30,INTC,15.033346,0.10674054484864737
INTC,2011Q3,2011-09-30,INTC,14.618399,-0.027601772752386622
INTC,2011Q4,2011-12-30,INTC,16.759378,0.14645783030002124
INTC,2012Q1,2012-03-30,INTC,19.58927,0.16885423790787435
INTC,2012Q2,2012-06-29,INTC,18.699797,-0.04540613305141028
INTC,2012Q3,2012-09-28,INTC,16.039375,-0.14227010057916678
INTC,2012Q4,2012-12-31,INTC,14.745807,-0.08064952655574176
INTC,2013Q1,2013-03-28,INTC,15.78611,0.07054907201755745
INTC,2013Q2,2013-06-28,INTC,17.678596,0.11988298573872846
INTC,2013Q3,2013-09-30,INTC,16.886431,-0.04480927105297261
INTC,2013Q4,2013-12-31,INTC,19.305214,0.1432382603523501
INTC,2014Q1,2014-03-31,INTC,19.376699,0.003702885655657573
INTC,2014Q2,2014-06-30,INTC,23.397314,0.20749741738776062
INTC,2014Q3,2014-09-30,INTC,26.540899,0.13435666162363757
INTC,2014Q4,2014-12-31,INTC,27.842751,0.049050787616500946
INTC,2015Q1,2015-03-31,INTC,24.163343,-0.13214958536245214
INTC,2015Q2,2015-06-30,INTC,23.676498,-0.020148081331295975
INTC,2015Q3,2015-09-30,INTC,23.65345,-0.0009734547735902321
INTC,2015Q4,2015-12-31,INTC,27.226334,0.15105128427354164
INTC,2016Q1,2016-03-31,INTC,25.791695,-0.052693065471098754
INTC,2016Q2,2016-06-30,INTC,26.37635,0.02266834343380686
INTC,2016Q3,2016-09-30,INTC,30.587027,0.1596383502645362
INTC,2016Q4,2016-12-30,INTC,29.610367,-0.031930530548130664
INTC,2017Q1,2017-03-31,INTC,29.657316,0.0015855595440610326
INTC,2017Q2,2017-06-30,INTC,27.947926,-0.057638054637176306
INTC,2017Q3,2017-09-29,INTC,31.77968,0.13710333997592516
INTC,2017Q4,2017-12-29,INTC,38.751141,0.21936850843054434
INTC,2018Q1,2018-03-29,INTC,44.01757,0.13590384345070006
INTC,2018Q2,2018-06-29,INTC,42.256927,-0.03999864145158405
INTC,2018Q3,2018-09-28,INTC,40.444252,-0.04289651729762556
INTC,2018Q4,2018-12-31,INTC,40.388958,-0.0013671658459648572
INTC,2019Q1,2019-03-29,INTC,46.508301,0.15151029645280767
INTC,2019Q2,2019-06-28,INTC,41.712982,-0.10310673356999234
INTC,2019Q3,2019-09-30,INTC,45.205399,0.08372494203363368
INTC,2019Q4,2019-12-31,INTC,52.793198,0.16785160993712278
INTC,2020Q1,2020-03-31,INTC,47.973904,-0.09128626759833713
INTC,2020Q2,2020-06-30,INTC,53.335037,0.11175102614121224
INTC,2020Q3,2020-09-30,INTC,46.472412,-0.12867010854422023
INTC,2020Q4,2020-12-31,INTC,45.038544,-0.030854176452042026
INTC,2021Q1,2021-03-31,INTC,58.208809,0.29242208629124433
INTC,2021Q2,2021-06-30,INTC,51.374519,-0.1174098923755682
INTC,2021Q3,2021-09-30,INTC,49.074139,-0.04477667226431836
INTC,2021Q4,2021-12-31,INTC,47.764519,-0.02668656091959154
INTC,2022Q1,2022-03-31,INTC,46.315392,-0.030338984466691588
INTC,2022Q2,2022-06-30,INTC,35.237179,-0.23919074246418992
INTC,2022Q3,2022-09-30,INTC,24.518293,-0.3041925121190887
INTC,2022Q4,2022-12-30,INTC,25.485863,0.03946318775128432
INTC,2023Q1,2023-03-31,INTC,31.88681,0.2511567687545053
INTC,2023Q2,2023-06-30,INTC,32.772007,0.02776060069978792
INTC,2023Q3,2023-09-29,INTC,34.965202,0.06692281617051998
INTC,2023Q4,2023-12-29,INTC,49.585903,0.4181500510135765
