Date,Close,Volume
2010-01-04,0.42378365993499756,800204000
2010-01-05,0.42997199296951294,728648000
2010-01-06,0.43272238969802856,649168000
2010-01-07,0.42424219846725464,547792000
2010-01-08,0.4251589775085449,478168000
2010-01-11,0.4191998243331909,556612000
2010-01-12,0.4049896001815796,627432000
2010-01-13,0.41049036383628845,508868000
2010-01-14,0.4040730595588684,608524000
2010-01-15,0.39215463399887085,818192000
2010-01-19,0.39948904514312744,545328000
2010-01-20,0.3978846073150635,719728000
2010-01-21,0.39077943563461304,608632000
2010-01-22,0.3772568702697754,1067916000
2010-01-25,0.38367438316345215,643676000
2010-01-26,0.37152692675590515,714636000
2010-01-27,0.3816116750240326,812504000
2010-01-28,0.36877670884132385,687764000
2010-01-29,0.35273292660713196,774700000
2010-02-01,0.37977805733680725,949832000
2010-02-02,0.38367438316345215,849812000
2010-02-03,0.3868831992149353,562296000
2010-02-04,0.36442190408706665,783480000
2010-02-05,0.37175625562667847,604856000
2010-02-08,0.3710686266422272,445160000
2010-02-09,0.3680891692638397,930144000
2010-02-10,0.37519416213035583,535828000
2010-02-11,0.392383873462677,695980000
2010-02-12,0.3976554274559021,780212000
2010-02-16,0.4049896001815796,457024000
2010-02-17,0.40888598561286926,876560000
2010-02-18,0.38207006454467773,1515508000
2010-02-19,0.380007266998291,510548000
2010-02-22,0.3806948959827423,458084000
2010-02-23,0.37152692675590515,489764000
2010-02-24,0.3793196976184845,445868000
2010-02-25,0.3758815824985504,576972000
2010-02-26,0.37129783630371094,393396000
2010-03-01,0.3861956298351288,555868000
2010-03-02,0.385966420173645,538648000
2010-03-03,0.3811533451080322,399300000
2010-03-04,0.38184088468551636,557396000
2010-03-05,0.3935299217700958,632832000
2010-03-08,0.38780003786087036,439312000
2010-03-09,0.40223923325538635,830832000
2010-03-10,0.40315625071525574,418520000
2010-03-11,0.39398831129074097,540660000
2010-03-12,0.39536339044570923,520352000
2010-03-15,0.3933006227016449,358904000
2010-03-16,0.40705254673957825,664988000
2010-03-17,0.41484519839286804,651168000
2010-03-18,0.4001765549182892,740964000
2010-03-19,0.39536339044570923,584612000
2010-03-22,0.401780903339386,435336000
2010-03-23,0.41003209352493286,493612000
2010-03-24,0.3962801694869995,436252000
2010-03-25,0.39742621779441833,495184000
2010-03-26,0.39742621779441833,344676000
2010-03-29,0.4024685323238373,394456000
2010-03-30,0.4040730595588684,324104000
2010-03-31,0.39880141615867615,389840000
2010-04-01,0.39467597007751465,339664000
2010-04-05,0.4006350338459015,413636000
2010-04-06,0.39077943563461304,809260000
2010-04-07,0.3933006227016449,817468000
2010-04-08,0.3868831992149353,1037600000
2010-04-09,0.38940438628196716,817572000
2010-04-12,0.39650946855545044,546460000
2010-04-13,0.40476053953170776,648696000
2010-04-14,0.40980270504951477,900720000
2010-04-15,0.4127824604511261,957596000
2010-04-16,0.3910086154937744,1917736000
2010-04-19,0.38917508721351624,1094492000
2010-04-20,0.39055031538009644,678188000
2010-04-21,0.38046571612358093,895908000
2010-04-22,0.38207006454467773,656932000
2010-04-23,0.376798540353775,752916000
2010-04-26,0.38046571612358093,491092000
2010-04-27,0.36969348788261414,606704000
2010-04-28,0.3703811466693878,672164000
2010-04-29,0.3816116750240326,987128000
2010-04-30,0.3600672483444214,1068048000
2010-05-03,0.35617101192474365,1078972000
2010-05-04,0.3380642831325531,1311376000
2010-05-05,0.3323345184326172,1330840000
2010-05-06,0.3254585564136505,1002888000
2010-05-07,0.31995782256126404,1153712000
2010-05-10,0.33370962738990784,979156000
2010-05-11,0.3300425708293915,829124000
2010-05-12,0.3364599347114563,901236000
2010-05-13,0.33577248454093933,1252000000
2010-05-14,0.29703831672668457,2493068000
2010-05-17,0.2977258563041687,856060000
2010-05-18,0.28787046670913696,674112000
2010-05-19,0.29245439171791077,826520000
2010-05-20,0.28557851910591125,1129136000
2010-05-21,0.2917667627334595,1069600000
2010-05-24,0.2832864224910736,664564000
2010-05-25,0.29084986448287964,966652000
2010-05-26,0.2922252118587494,995028000
2010-05-27,0.30941492319107056,713560000
2010-05-28,0.30116379261016846,545116000
2010-06-01,0.2883288264274597,527492000
2010-06-02,0.29153746366500854,649088000
2010-06-03,0.29107919335365295,586360000
2010-06-04,0.27732741832733154,671456000
2010-06-07,0.2635755240917206,577248000
2010-06-08,0.2562413513660431,967636000
2010-06-09,0.2500530481338501,697152000
2010-06-10,0.2601377069950104,611768000
2010-06-11,0.2660968005657196,442104000
2010-06-14,0.26036688685417175,375080000
2010-06-15,0.2732018828392029,528632000
2010-06-16,0.26976385712623596,366480000
2010-06-17,0.2800777554512024,859068000
2010-06-18,0.28191137313842773,932832000
2010-06-21,0.2752646803855896,579836000
2010-06-22,0.26495081186294556,818164000
2010-06-23,0.2679303288459778,614060000
2010-06-24,0.2546369731426239,725028000
2010-06-25,0.25394943356513977,507220000
2010-06-28,0.2544078230857849,372008000
2010-06-29,0.24019762873649597,660808000
2010-06-30,0.23400932550430298,623072000
2010-07-01,0.2379055768251419,737008000
2010-07-02,0.23492608964443207,737096000
2010-07-06,0.2324049472808838,712020000
2010-07-07,0.24363559484481812,608412000
2010-07-08,0.2363012433052063,783272000
2010-07-09,0.2372179925441742,571516000
2010-07-12,0.24157270789146423,565396000
2010-07-13,0.25028225779533386,723316000
2010-07-14,0.2528034746646881,1355664000
2010-07-15,0.24569828808307648,953088000
2010-07-16,0.23034219443798065,1288604000
2010-07-19,0.23973916471004486,798440000
2010-07-20,0.24569828808307648,1160988000
2010-07-21,0.23767651617527008,624940000
2010-07-22,0.24157270789146423,462612000
2010-07-23,0.23744729161262512,817604000
2010-07-26,0.2418019324541092,683548000
2010-07-27,0.23973916471004486,683472000
2010-07-28,0.23217567801475525,1320808000
2010-07-29,0.20925617218017578,2664476000
2010-07-30,0.21063132584095,984288000
2010-08-02,0.21040208637714386,917020000
2010-08-03,0.20490135252475739,955444000
2010-08-04,0.21361082792282104,855496000
2010-08-05,0.21636119484901428,800504000
2010-08-06,0.21888238191604614,739904000
2010-08-09,0.22094514966011047,466456000
